OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327164"",""ENGAGEMENT-202010"")",Public Engagement with Historical Records,NARA,National Archives and Records Administration,400000,5,"Jeff de la Concepcion
Jeff.delaconcepcion@nara.gov",,Jeff.delaconcepcion@nara.gov,,,05/18/2020,10/08/2020,05/18/2020 07:25:18,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326596"",""HRSA-21-012"")",Children’s Hospitals Graduate Medical Education (CHGME) Payment Program,HHS-HRSA,Health Resources and Services Administration,320000000,59,"Department of Health and Human Services, Health Resources and Services Administration
aflach-fulcher@hrsa.gov",,aflach-fulcher@hrsa.gov,,,05/18/2020,07/24/2020,05/18/2020 11:57:18,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327161"",""20-578"")",NSF-DFG Lead Agency Activity in Electrosynthesis and Electrocatalysis,NSF,National Science Foundation,5000000,10,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/17/2020,09/30/2020,05/17/2020 01:00:17,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327104"",""EAPBJ-20-GR-001-EAP-051520"")",Public Diplomacy Programming in the People's Republic of China,DOS-CHN,U.S. Mission to China,,15,BeijingProgramGrants@state.gov,,BeijingProgramGrants@state.gov,,,05/15/2020,07/31/2020,05/15/2020 00:16:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327105"",""ARCHIVAL-202010"")",Access to Historical Records: Archival Projects,NARA,National Archives and Records Administration,1000000,10,"Jeff de la Concepcion
Jeff.delaconcepcion@nara.gov",,Jeff.delaconcepcion@nara.gov,,,05/15/2020,10/08/2020,05/15/2020 05:38:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327083"",""20-577"")",Division of Chemistry: Disciplinary Research Programs,NSF,National Science Foundation,150000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/15/2020,09/30/2020,05/15/2020 01:00:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327115"",""VA-HRTG-NEW-2020"")",Grants for Transportation of Veterans in Highly Rural Areas,VA-CBO,VHA Member Services,200000,,HRTG Coordinator,,HRTG@va.gov,,,05/15/2020,07/17/2020,05/15/2020 17:51:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327087"",""20200818-HC"")",NEH/AHRC New Directions for Digital Scholarship in Cultural Institutions,NEH,National Endowment for the Humanities,1200000,15,"Office of Digital Humanities
National Endowment for the Humanities
400 Seventh Street, SW
Washington, DC 20506
odh@neh.gov",,odh@neh.gov,,,05/15/2020,08/18/2020,06/09/2020 12:03:09,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327052"",""2020-NIST-PSIAP-TABA-01"")",NIST Public Safety Innovation Accelerator Program (PSIAP) – Follow-on Funding for Technical and Business Assistance and Demonstration Projects with Public Safety Agencies,DOC-NIST,National Institute of Standards and Technology,,,"Christopher Hunton
NOFO Coordinator
Phone 301-975-5718",,grants@nist.gov,,,05/14/2020,,05/14/2020 10:35:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327096"",""PAR-20-210"")",NIAID Physician-Scientist Pathway to Independence Award (K99/R00 Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/14/2020,01/07/2023,05/14/2020 12:49:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327074"",""PAR-20-209"")",NIAID Physician-Scientist Pathway to Independence Award (K99/R00 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/14/2020,01/07/2023,05/14/2020 12:57:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327047"",""20-576"")",Plant Biotic Interactions,NSF,National Science Foundation,18500000,30,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/14/2020,,05/14/2020 01:00:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327057"",""SRB10020FO004"")",Embassy Belgrade -  Annual Program Statement (Public Diplomacy Small Grants),DOS-SRB,U.S. Mission to Serbia,350000,35,"Tatjana Bakraclic
Grantor
Phone 381117064263",,bakraclict@state.gov,,,05/14/2020,08/31/2020,05/15/2020 17:01:15,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327048"",""20-575"")",Joint DMS/NIGMS Initiative to Support Research at the Interface of the Biological and Mathematical Sciences,NSF,National Science Foundation,5000000,25,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/14/2020,09/18/2020,05/27/2020 01:00:27,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327046"",""20-536"")",Division of Integrative Organismal Systems Core Programs,NSF,National Science Foundation,60000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/14/2020,,06/23/2020 01:00:23,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327012"",""PA-20-149"")",HIV Infection of the Central Nervous System (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/13/2020,05/07/2023,05/13/2020 13:05:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327053"",""PA-20-151"")",Eradication of HIV-1 from Central Nervous system Reservoirs (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/13/2020,05/07/2023,05/13/2020 13:11:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327028"",""PAS-SINGAPORE-FY20-003"")",U.S. Embassy Singapore - Annual Program Statement,DOS-SGP,U.S. Mission to Singapore,250000,,"U.S. Embassy Singapore
Public Affairs Section",,SingaporePASCultural@state.gov,,,05/13/2020,09/04/2020,05/19/2020 03:44:19,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326998"",""PA-20-206"")",Mentored Patient-Oriented Research Career Development Award (Parent K23  Independent Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/12/2020,05/07/2023,05/12/2020 10:59:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327018"",""W81XWH-20-KCRP-TRPA"")","DoD Kidney Cancer, Translational Research Partnership Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,3600000,3,"CDMRP Help Desk
Phone: 301-682-5507
Help@eBRAP.org",,Help@eBRAP.org,,,05/12/2020,08/26/2020,05/12/2020 14:54:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327019"",""W81XWH-20-KCRP-AKCIECIA"")","DoD Kidney Cancer, Academy of Kidney Cancer Investigators – Early-Career Investigator Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,4640000,4,"CDMRP Help Desk
Phone: 301-682-5507
Email: Help@eBRAP.org",,Help@eBRAP.org,,,05/12/2020,08/26/2020,05/12/2020 15:28:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327016"",""W81XWH-20-KCRP-CA"")","DoD Kidney Cancer,  Concept Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,960000,6,"CDMRP Help Desk
Phone: 301-682-5570
Help@eBRAP.org",,Help@eBRAP.org,,,05/12/2020,08/05/2020,05/12/2020 14:34:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327015"",""PA-20-202"")",Mentored Clinical Scientist Research Career Development Award (Parent K08  Independent Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/12/2020,05/07/2023,05/12/2020 14:13:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327000"",""PA-20-201"")",Mentored Clinical Scientist Research Career Development Award (Parent K08 Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/12/2020,05/07/2023,05/12/2020 13:59:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327017"",""PA-20-203"")",Mentored Clinical Scientist Research Career Development Award (Parent K08  Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/12/2020,05/07/2023,05/12/2020 14:22:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326994"",""20-574"")",Centers for Chemical Innovation,NSF,National Science Foundation,9400000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/12/2020,01/14/2021,05/12/2020 01:00:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326993"",""2021-03"")",Technical Assistance for Specialty Crops Program Notice of Funding Opportunity,USDA-FAS-GP-10604,Technical Assistance for Specialty Crops 10.604,9000000,20,"Eric Bozoian
Grants Management Specialist
Phone 2023781054",,eric.bozoian@fas.usda.gov,,,05/12/2020,09/30/2020,06/29/2020 18:00:29,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327020"",""RFA-NS-20-030"")",Research Program Award (R35 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/12/2020,08/14/2020,07/07/2020 14:43:07,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327014"",""PA-20-205"")",Mentored Patient-Oriented Research Career Development Award (Parent K23  Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/11/2020,05/07/2023,05/12/2020 11:03:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326999"",""PA-20-204"")",Mentored Patient-Oriented Research Career Development Award (Parent K23 Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/11/2020,05/07/2023,05/12/2020 11:10:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326928"",""W81XWH-20-PCRP-PCPRNA"")","DoD Prostate Cancer, Prostate Cancer Pathology Resource Network Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,9600000,1,"CDMRP Helpdesk
Phone 301-682-5507
Help@eBRAP.org",,Help@eBRAP.org,,,05/08/2020,09/24/2020,05/08/2020 17:24:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326923"",""PA-20-207"")",NIH Support for Conferences and Scientific Meetings (Parent R13 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/08/2020,05/07/2023,05/08/2020 12:26:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326925"",""PA-20-208"")",Substance Use/Substance Use Disorder Dissertation Research Award (R36 - Clinical Trials Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/08/2020,05/07/2023,05/08/2020 13:25:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326890"",""PA-20-200"")",NIH Small Research Grant Program (Parent R03 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/07/2020,05/07/2023,05/07/2020 14:37:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326893"",""FHWA-TTPSF-2020"")",FY20 Tribal Transportation Program Safety Fund (TTPSF),DOT-FHWA,DOT Federal Highway Administration ,9200000,90,"Adam Larsen
Safety Program Manager
FHWA Office of Tribal Transportation
TTPSF@dot.gov
360-619-2601
https://highways.dot.gov/federal-lands/programs-tribal/safety/funds",,TTPSF@DOT.gov,,,05/07/2020,08/20/2020,05/07/2020 14:25:07,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326887"",""W81XWH-20-NETP-IIRA"")","DoD Neurotoxin Exposure Treatment Parkinson’s, Investigator- Initiated Research Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,16000000,6,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org",,help@eBRAP.org,,,05/07/2020,09/16/2020,05/07/2020 14:07:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326902"",""W81XWH-20-NETP-SIA"")","DoD Neurotoxin Exposure Treatment Parkinson’s, Synergistic Idea Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,16000000,2,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org",,help@eBRAP.org,,,05/07/2020,09/16/2020,05/07/2020 14:11:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326892"",""PA-20-197"")",Mentored Quantitative Research Development Award (Parent K25 Independent Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/07/2020,05/07/2023,05/07/2020 15:24:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326884"",""PA-20-176"")",Mentored Research Scientist Development Award (Parent K01 - Independent Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/07/2020,05/07/2023,05/07/2020 13:18:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326889"",""PA-20-195"")",NIH Exploratory/Developmental Research Grant Program (Parent R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/07/2020,05/07/2023,05/07/2020 14:20:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326891"",""PA-20-198"")",Mentored Quantitative Research Development Award (Parent K25 Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/07/2020,05/07/2023,05/07/2020 15:07:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326885"",""PA-20-196"")",NIH Exploratory/Developmental Research Grant Program (Parent R21 Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/07/2020,05/07/2023,05/07/2020 13:55:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326898"",""693JJ920R000060"")",State Notification to Consumers of Motor Vehicle Recall Status,DOT-NHTSA,National Highway Traffic Safety Administration,1500000,6,"Marlin Ricketts-Evans
Grantor
Phone 202-366-1772",,m.ricketts-evans@dot.gov,,,05/07/2020,09/15/2020,05/07/2020 10:31:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326880"",""W81XWH-20-HRRP-FRA"")",DoD Hearing Restoration Focused Research Award,DOD-AMRAA,Dept. of the Army -- USAMRAA,10000000,9,"CDMRP Help Desk
Phone: 301-682-5507
Email:  help@eBRAP.org",,help@eBRAP.org,,,05/07/2020,11/03/2020,05/07/2020 06:57:07,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326879"",""20-573"")",Panel Study of Income Dynamics (PSID) Competition,NSF,National Science Foundation,20000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/07/2020,08/04/2020,05/07/2020 01:00:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326900"",""PA-20-190"")",Mentored Research Scientist Development Award (Parent K01 - Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/07/2020,05/07/2023,05/07/2020 12:04:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326883"",""PA-20-191"")",Mentored Research Scientist Development Award (Parent K01 Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/07/2020,05/07/2023,05/07/2020 12:46:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326888"",""PA-20-194"")",NIH Exploratory/Developmental Research Grant Program (Parent R21 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/07/2020,05/07/2023,05/07/2020 14:09:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326901"",""W81XWH-20-NETP-EIRA"")","DoD Neurotoxin Exposure Treatment Parkinson’s, Early Investigator Research Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,16000000,4,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org",,help@eBRAP.org,,,05/07/2020,09/16/2020,05/07/2020 14:02:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326904"",""PA-20-199"")",Mentored Quantitative Research Development Award (Parent K25 Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/07/2020,05/07/2023,05/07/2020 16:02:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326857"",""2020NEA01OT"")","NEA Our Town, FY2021",NEA,National Endowment for the Arts,,,"NEA Web Manager
webmgr@arts.gov",,webmgr@arts.gov,,,05/06/2020,08/06/2020,05/06/2020 09:40:06,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326872"",""PA-20-193"")",Midcareer Investigator Award in Patient-Oriented Research (Parent K24 Independent Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/06/2020,05/07/2023,05/06/2020 14:35:06,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326869"",""PA-20-186"")",Midcareer Investigator Award in Patient-Oriented Research (Parent K24 Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/06/2020,05/07/2023,05/06/2020 14:16:06,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326871"",""PA-20-192"")",Midcareer Investigator Award in Patient-Oriented Research (Parent K24 - Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/06/2020,05/07/2023,05/06/2020 14:30:06,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326833"",""20-572"")",Discovery Research PreK-12,NSF,National Science Foundation,64000000,60,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/06/2020,10/07/2020,07/08/2020 01:00:08,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326834"",""20-571"")",EPSCoR Research Infrastructure Improvement Program Track-1:,NSF,National Science Foundation,20000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/06/2020,08/03/2020,07/07/2020 01:00:07,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326772"",""PA-20-187"")",NIH Pathway to Independence Award (Parent K99/R00  Independent Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/05/2020,05/07/2023,05/05/2020 16:44:05,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326799"",""PA-20-185"")",NIH Research Project Grant (Parent R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/05/2020,05/07/2023,05/05/2020 15:24:05,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326798"",""PA-20-184"")",Research Project Grant (Parent R01 Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/05/2020,05/07/2023,05/05/2020 15:18:05,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326800"",""PA-20-189"")",NIH Pathway to Independence Award (Parent K99/R00 Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/05/2020,05/07/2023,05/05/2020 17:33:05,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326771"",""20200923-FT"")",Summer Stipends,NEH,National Endowment for the Humanities,540000,90,"Division of Research Programs
National Endowment for the Humanities
400 Seventh Street, SW
Washington, DC 20506
202-606-8200
stipends@neh.gov",,stipends@neh.gov,,,05/05/2020,09/22/2021,05/06/2020 06:26:06,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326801"",""AF-DRC-FY20-01"")",U.S. Mission in Kinshasa PAS Annual Program Statement 2020,DOS-COD,U.S. Mission to the Democratic Republic of Congo,50000,10,Mission Kinshasa Public Affairs Section,,KinshasaPDGrants@state.gov,,,05/05/2020,09/04/2020,05/05/2020 17:58:05,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326813"",""PA-20-188"")",NIH Pathway to Independence Award (Parent K99/R00  Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/05/2020,05/07/2023,05/05/2020 17:13:05,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326769"",""PA-20-183"")",Research Project Grant (Parent R01 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/05/2020,05/07/2023,05/05/2020 15:13:05,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326791"",""20-570"")",Industry-University Cooperative Research Centers Program,NSF,National Science Foundation,20500000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/05/2020,09/08/2020,05/05/2020 01:00:05,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326733"",""GVA-SGP-2020-001"")",Small Grants Program,DOS-USUN,U.S. Mission to the United Nations,,5,"Yves Bouvie
U.S. Mission Public Diplomacy
11, Route de Pregny
Case Postale 2354
1211 Geneva 2
Switzerland
Tel: +41 (0)22 749 4359",,GenevaGrants@usmission.ch,,,05/05/2020,,05/05/2020 05:38:05,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326765"",""FOA-AFRL-AFOSR-2020-0004"")",(FY20) Defense Established Program to Stimulate Competitive Research (DEPSCoR),DOD-AFOSR,Air Force Office of Scientific Research,7200000,12,"Elaina L Barker
Grants Officer",,elaina.barker@us.af.mil,,,05/05/2020,02/15/2021,06/23/2020 15:02:23,Synopsis 10,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326773"",""PD-18-1242"")",Plasma Physics,NSF,National Science Foundation,,25,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/04/2020,11/16/2020,05/04/2020 01:00:04,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326757"",""N00014-20-S-F005"")","FY20 Funding Opportunity Announcement (FOA) for the Department of Navy (DoN) Science, Technology, Engineering & Mathematics (STEM), Education and Workforce Program administered by the Office of Naval Research (ONR)",DOD-ONR,Office of Naval Research,,,"Veronica Lacey
Grantor
Phone 703-696-2593",,veronica.lacey@navy.mil,,,05/04/2020,10/16/2020,06/19/2020 12:52:19,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326775"",""ED-GRANTS-050420-003"")",Institute of Education Sciences (IES): Education Research and Development Centers CFDA Number 84.305C,ED,Department of Education,,,"Meredith Larson
Meredith.Larson@ed.gov",,Meredith.Larson@ed.gov,,,05/04/2020,08/20/2020,06/23/2020 13:54:23,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326776"",""ED-GRANTS-050420-004"")",Institute of Education Sciences (IES): Research Grants Focused on Systematic Replication CFDA Number 84.305R,ED,Department of Education,,,"Christina Chhin
Christina.Chhin@ed.gov",,Christina.Chhin@ed.gov,,,05/04/2020,08/20/2020,06/23/2020 13:55:23,Synopsis 3,
